id,machine_name,check_1,check_2,check_3,check_4,check_5,check_6,check_7,check_8,check_9,check_10,check_11,check_12,check_13,check_14,check_15
1001,配电室,检查低压配电室是否正常运行无报警,检查低压配电室是否无异物/柳絮等,低压配电室电柜门是否都为关闭状态,低压配电室空调是否正常运行（按要求运行）,,,,,,,,,,,
1002,空压机组,检查空压机是否有报警,检查冷干机是否有报警,检查是否漏气的声音,检查空压机出口压力是否满足要求,手摸设备是否有烫手现象,,,,,,,,,,
1003,冷水机组,检查冷水系统是否报警,检查冷水系统出水温度是否满足要求,检查冷水机是否正常运行,检查水泵处水压表是否正常,水泵是否有异响,冷水机组是否漏水,冷却塔是否正常运行,冷水双胞胎系统是否有报错,,,,,,,
1004,供料系统,供料系统是否正常运行无报警,供料系统真空泵是否一直运行（需要间歇性运行）,供料系统是否有漏气声音,供料系统是否漏料,料仓料位是否有缺少,,,,,,,,,,
1005,粉碎系统,粉碎机是否异响,粉尘系统是否正常出粉尘,粉碎料温度是否正常,传送带是否有掉渣问题,传送带是否堵料,,,,,,,,,,
1006,吹塑机,吹塑机是否有异常报警,吹塑机是否漏气,吹塑机是否漏油,吹塑机是否漏水,吹塑机二层平台是否漏料,吹塑机二层平台5S是否正常,各个挤出机是否有异响,各个电机是否有异响,各个挤出机手摸和查看温度是否正常,头模油缸是否漏油,油箱吹塑是否正常，产品无异常,吹塑废料取出夹是否正常,吹塑油箱取出是否正常,吹塑机地面上是否有异常螺栓异常滚珠,
1007,PC+CTW,PC_Frame是否漏油漏水漏气,PC-Frame是否运行正常无报警,油箱是否正常,PC-Frame水温是否正常（14-20）,PC-Frame吹气压力是否满足要求,风塔运转是否有异响,风塔运行是否可以正常出油箱,风塔电风扇是否都在转,,,,,,,
1008,G38_FC,FC是否运行无报警,各站运转是否无异响,设备内无松动,设备内是否有掉落的螺栓等部件,开孔SLUG是否满箱无报警，清洁框型传感器,,,,,,,,,,
1009,G68_FC,FC是否运行无报警,各站运转是否无异响,设备内无松动,设备内是否有掉落的螺栓等部件,开孔SLUG是否满箱无报警，清洁框型传感器,,,,,,,,,,
1010,P71A_FC,FC是否运行无报警,各站运转是否无异响,设备内无松动,设备内是否有掉落的螺栓等部件,开孔SLUG是否满箱无报警，清洁框型传感器,,,,,,,,,,
1011,P171_FC,FC是否运行无报警,各站运转是否无异响,设备内无松动,设备内是否有掉落的螺栓等部件,开孔SLUG是否满箱无报警，清洁框型传感器,,,,,,,,,,
1012,E371_FC,FC是否运行无报警,各站运转是否无异响,设备内无松动,设备内是否有掉落的螺栓等部件,开孔SLUG是否满箱无报警，清洁框型传感器,,,,,,,,,,
1013,D2XX_FC,FC是否运行无报警,各站运转是否无异响,设备内无松动,设备内是否有掉落的螺栓等部件,开孔SLUG是否满箱无报警，清洁框型传感器,,,,,,,,,,
1014,G38_ASM,装配线是否正常无报警,操作人员是否反应异常,各站安装是否有问题，安装不到位情况,,,,,,,,,,,,
1015,G68_ASM,装配线是否正常无报警,操作人员是否反应异常,各站安装是否有问题，安装不到位情况,,,,,,,,,,,,
1016,P71A_ASM,装配线是否正常无报警,操作人员是否反应异常,各站安装是否有问题，安装不到位情况,,,,,,,,,,,,
1017,P171_ASM,装配线是否正常无报警,操作人员是否反应异常,各站安装是否有问题，安装不到位情况,,,,,,,,,,,,
1018,E371_ASM,装配线是否正常无报警,操作人员是否反应异常,各站安装是否有问题，安装不到位情况,,,,,,,,,,,,
1019,D2XX_ASM,装配线是否正常无报警,操作人员是否反应异常,各站安装是否有问题，安装不到位情况,,,,,,,,,,,,
1020,ULT,超声波水检设备是否无报警,误报数量是否太多,油箱是否有进水现象,水位是否满足,设备是否有异响,设备是否有漏气,,,,,,,,,
1021,HLT_1,氦气氮气罐是否有足够气体,设备是否有报警,真空泵运行是否有异响,腔体的5S是否满足，是否有灰尘,操作工是否有反馈异常,,,,,,,,,,
1022,HLT_2,氦气氮气罐是否有足够气体,设备是否有报警,真空泵运行是否有异响,腔体的5S是否满足，是否有灰尘,操作工是否有反馈异常,,,,,,,,,,
